variant_tag,block,architecture,controller,split,scenario_id,family,mission_success,safety_success,position_rmse_m,saturation_percentage,degradation_percentage,force_norm_clip_percentage,force_tilt_clip_percentage,result_dir
v1_baseline,baseline,gru,neural_outer_force_gru,test,waypoint_g01_P1_drag_high_s1157_outer_expert,waypoint,True,True,0.04991494797500392,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\waypoint_g01_P1_drag_high_s1157_outer_expert_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,test,waypoint_g01_P3_wind_ne_s1159_outer_expert,waypoint,True,True,0.07153439185510228,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\waypoint_g01_P3_wind_ne_s1159_outer_expert_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,test,waypoint_g02_P3_wind_ne_s1165_outer_expert,waypoint,True,True,0.08545061711662477,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\waypoint_g02_P3_wind_ne_s1165_outer_expert_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,test,waypoint_g03_P0_nominal_s1168_outer_expert,waypoint,True,True,0.06243895662799251,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\waypoint_g03_P0_nominal_s1168_outer_expert_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,test,waypoint_g03_P5_combined_s1173_outer_expert,waypoint,True,True,0.10632696357642235,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\waypoint_g03_P5_combined_s1173_outer_expert_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,test,waypoint_g04_P0_nominal_s1174_outer_expert,waypoint,True,True,0.07080623297410275,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\waypoint_g04_P0_nominal_s1174_outer_expert_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,ood,lemniscate_3d_heavy_wind,lemniscate,True,True,0.1257548821929361,0.0,2.2792022792022792,0.0,0.0,data/neural_ood/battery_v1\results\lemniscate_3d_heavy_wind_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,ood,lemniscate_fast_center_yaw,lemniscate,True,True,0.12203269605805886,0.0,0.0,0.0,0.0,data/neural_ood/battery_v1\results\lemniscate_fast_center_yaw_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,ood,lemniscate_combined_extreme,lemniscate,False,False,0.25006687750654405,0.0,36.15023474178404,0.0,0.0,data/neural_ood/battery_v1\results\lemniscate_combined_extreme_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,ood,lissajous_3d_speedy,lissajous,True,True,0.26160483308418214,0.0,0.0,0.0,0.0,data/neural_ood/battery_v1\results\lissajous_3d_speedy_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,ood,lissajous_extreme_noise,lissajous,True,True,0.09455841193078673,0.0,4.273504273504273,0.0,0.0,data/neural_ood/battery_v1\results\lissajous_extreme_noise_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,ood,composite_circle_to_lemniscate,composite,True,True,0.3315034689613034,0.0,6.686046511627906,0.0,0.0,data/neural_ood/battery_v1\results\composite_circle_to_lemniscate_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,ood,composite_aggressive_transitions,composite,True,True,0.20797604609216513,0.0,2.6178010471204187,0.0,0.0,data/neural_ood/battery_v1\results\composite_aggressive_transitions_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,ood,helix_ascending_fast,waypoint,False,True,0.0878214900076481,0.0,0.0,0.0,0.0,data/neural_ood/battery_v1\results\helix_ascending_fast_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,ood,helix_descending_noise_wind,waypoint,False,True,0.09770355289752168,0.0,0.2849002849002849,0.0,0.0,data/neural_ood/battery_v1\results\helix_descending_noise_wind_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,ood,helix_tight_aggressive,waypoint,False,True,0.3013267626442032,0.0,0.0,0.0,0.0,data/neural_ood/battery_v1\results\helix_tight_aggressive_neural_gru
v1_baseline,baseline,lstm,neural_outer_force_lstm,test,hold_g03_P0_nominal_s1048_outer_expert,hold,True,True,0.0007080747785515045,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\hold_g03_P0_nominal_s1048_outer_expert_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,test,hold_g03_P2_wind_east_s1049_outer_expert,hold,True,True,0.031124483624673814,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\hold_g03_P2_wind_east_s1049_outer_expert_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,test,hold_g05_P5_combined_s1056_outer_expert,hold,True,True,0.11453527210279373,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\hold_g05_P5_combined_s1056_outer_expert_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,test,circle_g02_P0_nominal_s1066_outer_expert,circle,True,True,0.03738680136233658,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\circle_g02_P0_nominal_s1066_outer_expert_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,test,circle_g02_P5_combined_s1071_outer_expert,circle,True,True,0.12365363375822816,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\circle_g02_P5_combined_s1071_outer_expert_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,test,circle_g04_P5_combined_s1083_outer_expert,circle,True,True,0.12243633701685797,0.0,1.1086474501108647,0.0,0.0,data/outer_force_dataset/v1\results\circle_g04_P5_combined_s1083_outer_expert_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,test,circle_g06_P4_noise_low_s1094_outer_expert,circle,True,True,0.026738471967227378,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\circle_g06_P4_noise_low_s1094_outer_expert_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,test,circle_g07_P2_wind_east_s1098_outer_expert,circle,True,True,0.14680581109183324,0.0,0.22172949002217296,0.0,0.0,data/outer_force_dataset/v1\results\circle_g07_P2_wind_east_s1098_outer_expert_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,test,circle_g07_P3_wind_ne_s1099_outer_expert,circle,True,True,0.14459571607625127,0.0,0.22172949002217296,0.0,0.0,data/outer_force_dataset/v1\results\circle_g07_P3_wind_ne_s1099_outer_expert_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,test,circle_g08_P3_wind_ne_s1105_outer_expert,circle,True,True,0.09204293344299853,0.0,0.22172949002217296,0.0,0.0,data/outer_force_dataset/v1\results\circle_g08_P3_wind_ne_s1105_outer_expert_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,test,lissajous_g04_P0_nominal_s1126_outer_expert,lissajous,True,True,0.2322140381159384,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\lissajous_g04_P0_nominal_s1126_outer_expert_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,test,lissajous_g04_P1_drag_high_s1127_outer_expert,lissajous,True,True,0.22693689829055566,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\lissajous_g04_P1_drag_high_s1127_outer_expert_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,test,lissajous_g05_P0_nominal_s1132_outer_expert,lissajous,True,True,0.20939666138742083,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\lissajous_g05_P0_nominal_s1132_outer_expert_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,test,lissajous_g05_P3_wind_ne_s1135_outer_expert,lissajous,True,True,0.22460012634133497,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\lissajous_g05_P3_wind_ne_s1135_outer_expert_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,test,lissajous_g06_P2_wind_east_s1140_outer_expert,lissajous,True,True,0.024363427924338096,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\lissajous_g06_P2_wind_east_s1140_outer_expert_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,test,lissajous_g07_P0_nominal_s1144_outer_expert,lissajous,True,True,0.09668992534999546,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\lissajous_g07_P0_nominal_s1144_outer_expert_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,test,lissajous_g07_P5_combined_s1149_outer_expert,lissajous,True,True,0.11826234779742746,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\lissajous_g07_P5_combined_s1149_outer_expert_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,test,waypoint_g01_P1_drag_high_s1157_outer_expert,waypoint,True,True,0.049727301646301306,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\waypoint_g01_P1_drag_high_s1157_outer_expert_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,test,waypoint_g01_P3_wind_ne_s1159_outer_expert,waypoint,True,True,0.06931814778640491,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\waypoint_g01_P3_wind_ne_s1159_outer_expert_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,test,waypoint_g02_P3_wind_ne_s1165_outer_expert,waypoint,True,True,0.0842647437278276,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\waypoint_g02_P3_wind_ne_s1165_outer_expert_neural_lstm
